Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Blitz ,petisolancero,Morozov_Vadim,1-0,2016.06.30,22:00:41,2153,2159,11.0,-11.0,C05,"French Defense: Tarrasch Variation, Pawn Center Variation",180+0,Normal
 Classical ,ChuckBTaylor,taborluna,0-1,2016.06.30,22:00:40,1564,1679,-7.0,7.0,A22,"English Opening: King's English Variation, Two Knights Variation",900+5,Normal
 Bullet ,Microda,gipsy_man,0-1,2016.06.30,22:00:43,1789,1829,-9.0,9.0,C00,French Defense: La Bourdonnais Variation,60+0,Time forfeit
 Classical ,ch3cooh,brexit-success,1-0,2016.06.30,22:00:43,1534,1069,1.0,-6.0,C00,French Defense #2,600+0,Normal
 Blitz ,Pierangelo,Nougatin,0-1,2016.06.30,22:00:43,1380,1286,-14.0,14.0,C22,Center Game: Normal Variation,300+3,Normal
 Bullet tournament ,king-Masinissa,volpi2007,1-0,2016.06.30,22:00:36,2040,1447,1.0,-1.0,B10,Caro-Kann Defense: Two Knights Attack,60+0,Time forfeit
 Blitz ,papopapirus,Giacomix,1-0,2016.06.30,22:00:43,1920,1954,12.0,-10.0,A00,Polish Opening: Outflank Variation,300+0,Time forfeit
 Blitz ,nino-grn12,koje,1-0,2016.06.30,22:00:44,2015,2004,10.0,-10.0,B01,Scandinavian Defense,180+0,Normal
 Classical ,Trajanoandrade,Luisphotosmadrid,0-1,2016.06.30,22:00:44,2039,1829,-28.0,18.0,B24,Sicilian Defense: Closed,480+0,Time forfeit
 Blitz ,OsvyChess,cvalimir,0-1,2016.06.30,22:00:45,1660,1707,-8.0,9.0,B08,"Pirc Defense: Classical Variation, Quiet System, Czech Defense",300+3,Normal
 Blitz ,Hrasnica70,jiprok,1-0,2016.06.30,22:00:51,2089,2040,9.0,-9.0,B01,"Scandinavian Defense: Modern Variation, Gipslis Variation",240+0,Normal
 Bullet ,Unvergesslich,nfedorak,1-0,2016.06.30,22:00:45,2079,1970,9.0,-8.0,A43,Old Benoni Defense,120+1,Normal
 Classical ,Kerfest,Lek0r,1-0,2016.06.30,22:00:37,1452,1384,13.0,-13.0,B01,Scandinavian Defense,3600+0,Time forfeit
 Bullet ,Itseyce,t_b,1-0,2016.06.30,22:00:47,1479,1557,13.0,-13.0,A10,English Opening,60+0,Normal
 Classical ,avkydin,ox_brilliant,0-1,2016.06.30,22:00:47,1628,1534,-14.0,14.0,B01,Scandinavian Defense,1200+0,Time forfeit
 Bullet ,Drobos,yenduri,0-1,2016.06.30,22:00:47,1546,1501,-13.0,12.0,B54,Sicilian Defense,120+1,Time forfeit
 Classical ,Amauri,Josue-Argel,1-0,2016.06.30,22:00:47,1910,1925,11.0,-11.0,C40,Latvian Gambit Accepted,480+0,Normal
 Blitz ,Rambo999,nibul0,1-0,2016.06.30,22:00:48,1491,1484,11.0,-10.0,D31,Semi-Slav Defense: Accelerated Move Order,180+3,Normal
 Classical ,Edcrfv,jag7,0-1,2016.06.30,22:00:48,1802,1706,-14.0,14.0,C34,"King's Gambit Accepted, King's Knight Gambit",300+8,Normal
 Blitz tournament ,kthy,Mezmister5000,1-0,2016.06.30,22:00:48,1340,1518,19.0,-15.0,B01,Scandinavian Defense,300+0,Normal
 Blitz ,Perogrullo,taha1970,1-0,2016.06.30,22:00:48,1736,1765,11.0,-12.0,C30,"King's Gambit Declined, Queen's Knight Defense",300+0,Normal
 Blitz ,dinozor55,alexeiryumin,0-1,2016.06.30,22:00:50,1593,1693,-8.0,8.0,A00,Van't Kruijs Opening,180+2,Normal
 Bullet ,ValKillme,patrickgoedde,0-1,2016.06.30,22:00:49,2075,2222,-7.0,6.0,B06,Modern Defense: Two Knights Variation,60+0,Time forfeit
 Blitz ,eixerit1971,Fabrice01,1-0,2016.06.30,22:00:49,1714,1742,11.0,-11.0,A43,Benoni Defense: Benoni Gambit Accepted,180+0,Normal
 Classical ,anameofauser,konstantinos67,0-1,2016.06.30,22:00:49,1804,2044,-33.0,5.0,C01,"French Defense: Winawer Variation, Delayed Exchange Variation",600+0,Time forfeit
 Blitz ,nanokio,camillek,1-0,2016.06.30,22:00:50,1466,1298,6.0,-6.0,C60,Ruy Lopez,300+0,Normal
 Blitz tournament ,slichess,redscale,1-0,2016.06.30,22:00:51,1500,1385,128.0,-16.0,D06,Queen's Gambit Refused: Marshall Defense,180+2,Normal
 Classical ,gippolo,alphaman8,1-0,2016.06.30,22:00:52,1455,1489,11.0,-11.0,C41,Philidor Defense #3,480+6,Normal
 Blitz ,rosebud64,markevic,1-0,2016.06.30,22:00:52,1582,1581,11.0,-11.0,C65,Ruy Lopez: Berlin Defense #2,300+0,Normal
 Bullet ,Spiritchaser84,liparrene,1-0,2016.06.30,22:00:56,2219,1889,3.0,-3.0,A04,Zukertort Opening: Pirc Invitation,60+0,Time forfeit
 Blitz ,ncflavos,aberr,1-0,2016.06.30,22:00:52,1715,1537,6.0,-6.0,C41,Philidor Defense #2,420+0,Normal
 Bullet ,evil_morty2,RamsayBolton,1-0,2016.06.30,22:00:53,2185,2212,11.0,-12.0,B23,Sicilian Defense: Closed Variation,60+0,Time forfeit
 Bullet ,SelectioNaturalis,piola,1-0,2016.06.30,22:00:53,1826,1833,11.0,-13.0,C11,French Defense: Steinitz Variation #2,60+0,Normal
 Blitz ,ozgurilter,titanic1912,1/2-1/2,2016.06.30,22:00:54,1665,1883,6.0,-6.0,A46,Yusupov-Rubinstein System,180+0,Normal
 Blitz ,HappyCruncher,Congoman,0-1,2016.06.30,22:00:54,2389,2287,-13.0,13.0,D11,Slav Defense: Modern,180+0,Normal
 Blitz ,piperskiJejts,mohcinemarlow,1-0,2016.06.30,22:00:57,1765,2042,20.0,-19.0,A00,Hungarian Opening,300+0,Time forfeit
 Blitz ,tago87,riri91,1-0,2016.06.30,22:00:54,1499,1503,11.0,-11.0,C00,French Defense: Knight Variation,420+0,Normal
 Bullet ,sefikzvekic12,lazaeta,1-0,2016.06.30,22:00:54,1816,1671,7.0,-6.0,A04,Zukertort Opening: Queen's Gambit Invitation,120+0,Time forfeit
 Blitz ,raselmahbub33,haranski,0-1,2016.06.30,22:00:55,2052,2082,-10.0,10.0,A01,Nimzo-Larsen Attack: Symmetrical Variation,180+2,Normal
 Blitz ,meru,carpachot,0-1,2016.06.30,22:00:55,1313,1415,-8.0,9.0,D32,Tarrasch Defense: Two Knights Variation,240+2,Normal
 Bullet ,Cascarilla,SebaRiscart,0-1,2016.06.30,22:00:55,1972,1976,-10.0,11.0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,60+0,Time forfeit
 Bullet ,moprak,crob157,0-1,2016.06.30,22:00:56,1616,1509,-15.0,15.0,B01,"Scandinavian Defense: Main Line, Mieses Variation",120+0,Normal
 Blitz ,Ferroceno,follet,1-0,2016.06.30,22:00:53,1573,1614,13.0,-12.0,C50,Giuoco Piano,300+4,Normal
 Classical ,giuseppe83,joseolim,1-0,2016.06.30,22:00:55,1303,1321,14.0,-14.0,A00,Saragossa Opening,900+2,Normal
 Bullet ,Rovers84,Adkos__95,0-1,2016.06.30,22:00:56,1765,1750,-11.0,12.0,A04,Zukertort Opening: Black Mustang Defense,30+0,Time forfeit
 Blitz ,frustrator,Secondoftwo,0-1,2016.06.30,22:00:57,1667,1966,-4.0,3.0,B01,Scandinavian Defense,120+2,Normal
 Blitz ,marcolino33,tmt,1-0,2016.06.30,22:00:57,1653,1549,8.0,-7.0,A00,Hungarian Opening: Catalan Formation,300+0,Normal
 Classical ,bojorquezmontiel19,seis6seis,1-0,2016.06.30,22:00:58,1750,1611,7.0,-7.0,C00,French Defense: Queen's Knight,600+0,Normal
 Bullet ,kalounardo,hutgovy,1-0,2016.06.30,22:00:59,2277,2002,4.0,-4.0,D11,Slav Defense: Quiet Variation,60+2,Normal
 Blitz ,hosepud,Velocyraptor,1-0,2016.06.30,22:00:59,2031,1913,8.0,-6.0,B00,Owen Defense,180+0,Normal
 Classical ,spworks,EKNIF,1-0,2016.06.30,22:01:00,1920,1830,9.0,-8.0,C30,"King's Gambit Declined, Queen's Knight Defense",600+0,Normal
 Bullet ,BigGamer003,bignik9,1-0,2016.06.30,22:01:00,2088,2008,8.0,-8.0,D15,Slav Defense: Chameleon Variation,60+2,Normal
 Blitz ,paoloaka,GuapoYrico,0-1,2016.06.30,22:01:00,1703,1869,-6.0,7.0,B50,Sicilian Defense,240+0,Normal
 Bullet tournament ,lchuza_otro,jhermon,1-0,2016.06.30,22:01:01,1646,1463,6.0,-10.0,A25,"English Opening: King's English Variation, Reversed Closed Sicilian",60+0,Normal
 Bullet ,Trystoune,moco36,1-0,2016.06.30,22:00:59,1222,1033,6.0,-6.0,D00,Queen's Pawn Game: Levitsky Attack,120+1,Normal
 Blitz ,laumassambani,thiaguinho,1-0,2016.06.30,22:01:08,1729,1838,16.0,-14.0,A40,Horwitz Defense,300+0,Normal
 Bullet tournament ,laussy,JusticeBeaverr,1-0,2016.06.30,22:01:01,1754,1893,16.0,-16.0,B23,Sicilian Defense: Closed,60+0,Normal
 Blitz ,mohammedkh,Josemar,1-0,2016.06.30,22:01:02,1779,1847,14.0,-12.0,C00,French Defense: Knight Variation,300+0,Normal
 Classical ,Claudiosparov,gonzo0506,0-1,2016.06.30,22:01:02,1432,1355,-14.0,13.0,A00,Anderssen Opening,600+0,Normal
 Blitz ,tcoleman,Roja,1-0,2016.06.30,22:00:59,1300,1260,10.0,-10.0,C40,Gunderam Defense,300+3,Normal
 Classical ,boryo84,masd00,1-0,2016.06.30,22:01:06,1783,1646,7.0,-7.0,A00,Polish Opening,480+0,Normal
 Bullet tournament ,oberjarl,fernandes20000,1-0,2016.06.30,22:01:01,1709,1659,57.0,-9.0,A10,"English Opening: Anglo-Scandinavian Defense, Loehn Gambit",60+0,Time forfeit
 Bullet ,Calisto,ekevu,1-0,2016.06.30,22:01:06,1525,1496,11.0,-10.0,B09,"Pirc Defense: Austrian Attack, Unzicker Attack",0+3,Normal
 Bullet ,ruslanschandorff,Jahrom,1-0,2016.06.30,22:01:06,2023,1915,8.0,-7.0,D15,Slav Defense: Geller Gambit,60+0,Time forfeit
 Blitz ,KobeKey99,Perosurac,0-1,2016.06.30,22:01:07,1408,1592,-9.0,5.0,B21,Sicilian Defense: Smith-Morra Gambit #2,300+0,Normal
 Blitz ,aredca,vlado691,0-1,2016.06.30,22:01:03,1808,2062,-5.0,4.0,B20,Sicilian Defense: Bowdler Attack,180+0,Normal
 Classical tournament ,CarlosSoto73,renan_stockler,1-0,2016.06.30,22:01:07,1863,1819,11.0,-10.0,B07,Pirc Defense: Byrne Variation,600+0,Normal
 Bullet ,druckenmiller,freefal,1-0,2016.06.30,22:01:06,1598,1589,10.0,-11.0,D02,Queen's Pawn Game: Zukertort Variation,60+0,Normal
 Classical ,Nikscorp,Fedesvin,1-0,2016.06.30,22:01:09,1696,1528,6.0,-6.0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",300+8,Normal
 Classical ,ali_taha,Noobakis,0-1,2016.06.30,22:01:08,1452,1358,-19.0,16.0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",1200+0,Normal
 Blitz tournament ,Speed1,matis86,1-0,2016.06.30,22:01:10,1886,1850,10.0,-10.0,A35,"English Opening: Symmetrical Variation, Two Knights Variation",300+0,Time forfeit
 Blitz ,ungallantknight,Vegeta99,1-0,2016.06.30,22:01:10,1296,1336,15.0,-13.0,C43,Petrov: Modern Attack,300+0,Normal
 Bullet ,severin,grelf,1-0,2016.06.30,22:01:12,1517,1450,9.0,-10.0,A40,Horwitz Defense,60+2,Normal
 Blitz ,springwinter,phelanguist,1-0,2016.06.30,22:01:10,1433,1347,9.0,-14.0,A00,Van't Kruijs Opening,300+0,Time forfeit
 Classical tournament ,Thiago_Oliveira,arkamran,1-0,2016.06.30,22:01:13,1778,1853,14.0,-15.0,C42,Russian Game: Urusov Gambit,600+0,Normal
 Blitz ,jogardenegras2,dmitriy_33,1-0,2016.06.30,22:01:13,2044,1898,6.0,-6.0,A04,Zukertort Opening: Queen's Gambit Invitation,300+0,Normal
 Bullet ,Turukmakkto,Bibi1983,1-0,2016.06.30,22:01:11,1918,1931,11.0,-10.0,B00,Owen Defense,60+0,Normal
 Bullet ,Pablofq,E27,1-0,2016.06.30,22:01:07,1556,1664,15.0,-14.0,A40,English Defense,120+1,Time forfeit
 Blitz tournament ,MarcHAssassin,sznorby87,1-0,2016.06.30,22:01:10,1677,1430,5.0,-6.0,D31,Semi-Slav Defense: Marshall Gambit,300+0,Normal
 Bullet ,LexLawless,RSimon,1-0,2016.06.30,22:01:14,1862,2059,19.0,-16.0,A40,Queen's Pawn,120+1,Normal
 Blitz ,Folichon,Rumrunner,1-0,2016.06.30,22:01:15,1731,1700,10.0,-9.0,A40,English Defense #2,420+0,Normal
 Bullet ,BeautifulSquares,Macxsimus,0-1,2016.06.30,22:01:11,1744,1853,-7.0,7.0,B08,Pirc Defense: Classical Variation,60+0,Time forfeit
 Blitz ,yoe853,bopbop,1-0,2016.06.30,22:01:15,2204,2087,7.0,-7.0,B90,"Sicilian Defense: Najdorf Variation, English Attack",180+2,Normal
 Blitz ,Bojanisimo,cdwy3r,0-1,2016.06.30,22:01:02,1445,1604,-8.0,51.0,A00,Hungarian Opening,300+0,Time forfeit
 Classical ,GregMillsUSA1,hamedst,1-0,2016.06.30,22:01:15,1975,1753,5.0,-5.0,B00,Nimzowitsch Defense,600+0,Normal
 Classical ,Abdullahc,molochbaal,0-1,2016.06.30,22:01:15,1701,1765,-15.0,10.0,B00,Owen Defense,300+5,Normal
 Blitz ,Portutatis,mja1991,1-0,2016.06.30,22:01:13,1653,1547,8.0,-9.0,C20,King's Pawn Game: Leonardis Variation,300+2,Normal
 Bullet tournament ,Swatchess,John_Sorin,0-1,2016.06.30,22:01:16,1986,2053,-9.0,10.0,A43,Old Benoni Defense,60+0,Time forfeit
 Blitz ,in1989,hutchings2015,1-0,2016.06.30,22:01:16,1706,1593,8.0,-7.0,C69,"Ruy Lopez: Exchange Variation, Normal Variation",180+2,Time forfeit
 Classical ,neoser16,demyann35,1-0,2016.06.30,22:01:14,1556,1397,6.0,-6.0,B21,Sicilian Defense: Smith-Morra Gambit #2,600+0,Normal
 Bullet ,ANALISADOR,blu21,0-1,2016.06.30,22:01:13,1605,1811,-6.0,5.0,B07,Pirc Defense #5,30+0,Time forfeit
 Bullet ,Crazykingknight,no_chess_please,0-1,2016.06.30,22:01:16,1652,1854,-6.0,5.0,D20,Queen's Gambit Accepted,120+1,Normal
 Bullet tournament ,Slyh,sirozha,0-1,2016.06.30,22:01:16,1461,1830,-3.0,3.0,B06,Modern Defense,60+0,Time forfeit
 Classical ,PalSanich,fahem,1-0,2016.06.30,22:01:10,1351,1189,13.0,-54.0,C47,Four Knights Game: Scotch Variation,10800+0,Normal
 Blitz ,Probandoclub,anulov,0-1,2016.06.30,22:01:17,2065,2234,-7.0,7.0,C01,French Defense: Exchange Variation,180+1,Normal
 Blitz ,AQ420,SamKaiba,0-1,2016.06.30,22:01:17,1123,1494,-4.0,3.0,D00,Queen's Pawn Game,180+0,Normal
 Classical ,cheesexyz,BerragOussama,0-1,2016.06.30,22:01:17,1762,1682,-12.0,14.0,C42,Petrov's Defense #2,360+4,Normal
 Blitz ,paultopia,rmdr,1-0,2016.06.30,22:01:16,1928,1774,7.0,-6.0,B03,Alekhine Defense: Exchange Variation,180+0,Time forfeit
 Blitz ,draganv,Krowndsy,0-1,2016.06.30,22:01:19,1834,1847,-11.0,11.0,C00,French Defense: Diemer-Duhm Gambit,180+0,Normal
 Blitz ,king_of_nowhere,MontessoriChess,1-0,2016.06.30,22:01:18,2266,2161,8.0,-8.0,A42,"Modern Defense: Averbakh System, Randspringer Variation",180+0,Normal
 Classical ,MarcusLavour,apalom1,0-1,2016.06.30,22:01:17,1432,1718,-5.0,4.0,C20,King's Pawn Game: Macleod Attack,720+10,Normal
 Blitz ,cyclo,Quentinovich,1/2-1/2,2016.06.30,22:01:18,2097,2108,0.0,-1.0,B15,Caro-Kann Defense: Rasa-Studier Gambit,180+0,Time forfeit
 Classical ,KRATOS1985,shugich,0-1,2016.06.30,22:01:20,1223,1546,-4.0,4.0,A00,Van't Kruijs Opening,2700+45,Normal
 Bullet ,benben10,bound7,1-0,2016.06.30,22:01:19,1444,1532,15.0,-14.0,B00,Owen Defense,60+0,Time forfeit
 Classical ,mazorra,knight100rook,1-0,2016.06.30,22:01:19,1837,1640,5.0,-6.0,B06,Modern Defense,600+0,Normal
 Blitz ,Karpanen,Algoritma,1-0,2016.06.30,22:01:20,1538,1474,9.0,-10.0,A40,Queen's Pawn,300+0,Normal
 Blitz ,GoraSvagor,dicaprio6913,1-0,2016.06.30,22:01:20,1409,1486,14.0,-13.0,C22,Center Game: Normal Variation,300+0,Normal
 Bullet ,stander87,Neander_Tal,1-0,2016.06.30,22:01:25,2007,1995,10.0,-10.0,B01,Scandinavian Defense,120+0,Time forfeit
 Bullet ,bianca2107,OhNoYouDidnt,0-1,2016.06.30,22:01:21,1550,1500,-21.0,13.0,C69,"Ruy Lopez: Exchange Variation, Normal Variation",120+0,Time forfeit
 Bullet ,piwot3,Kiiris,1-0,2016.06.30,22:01:21,1989,2137,14.0,-16.0,B25,"Sicilian Defense: Closed Variation, Traditional",60+0,Normal
 Blitz ,DuckGoesQuack,VinChessUGM,0-1,2016.06.30,22:01:21,1299,1783,-1.0,3.0,B30,Sicilian Defense: Old Sicilian,60+3,Normal
 Bullet ,betoschiavon,JefersonZanatta,1-0,2016.06.30,22:01:21,1564,1519,9.0,-10.0,C01,French Defense: Exchange Variation,120+0,Normal
 Bullet tournament ,DevilFish,amateur2016,1/2-1/2,2016.06.30,22:01:16,2254,2211,-2.0,1.0,A00,Van Geet Opening,60+0,Normal
 Blitz ,zaaco99,Cbonfim125,0-1,2016.06.30,22:01:22,1661,1446,-18.0,17.0,C41,Philidor Defense #3,300+0,Normal
 Blitz ,dario7218,EnriqueVillegas,1-0,2016.06.30,22:01:22,1830,1678,6.0,-7.0,E30,Nimzo-Indian Defense: Leningrad Variation,300+0,Normal
 Bullet ,MINSK_VAMPIRE,fsanna,0-1,2016.06.30,22:01:23,1896,1847,-12.0,12.0,A00,Van Geet Opening: Reversed Nimzowitsch,0+1,Time forfeit
 Blitz ,Pierangelo,aleksandar181994,0-1,2016.06.30,22:01:24,1366,1335,-12.0,12.0,B20,Sicilian Defense,300+3,Normal
 Classical ,abolith,ericgeneric,1-0,2016.06.30,22:01:24,1972,1851,7.0,-18.0,A00,Hungarian Opening,900+0,Normal
 Blitz ,controll,pwntiuspilate,1-0,2016.06.30,22:01:23,1332,1463,14.0,-14.0,C44,Scotch Game,180+2,Normal
 Blitz ,vahdaniGM,amir1351,0-1,2016.06.30,22:01:22,2219,2214,-10.0,10.0,A04,Zukertort Opening: Kingside Fianchetto,180+2,Time forfeit
 Bullet ,M3rC3L_CCas,blind-kitten,1-0,2016.06.30,22:01:24,1630,1842,18.0,-19.0,C33,"King's Gambit Accepted, Bishop's Gambit, Anderssen Defense",30+0,Time forfeit
 Bullet ,fff1234567,HACHEEA9,0-1,2016.06.30,22:01:24,1475,1315,-15.0,16.0,E76,King's Indian Defense: Four Pawns Attack,45+3,Time forfeit
 Blitz ,MIGUEL135,francruz1974,0-1,2016.06.30,22:01:25,1883,2000,-9.0,8.0,B06,Modern Defense,180+2,Normal
 Classical ,blingblingmoney,burak1071,0-1,2016.06.30,22:01:26,1745,1612,-14.0,15.0,D02,Queen's Pawn Game: Zukertort Variation,600+0,Normal
 Classical ,RSdC,sulo52,0-1,2016.06.30,22:01:26,1925,2126,-5.0,6.0,A02,Bird Opening,600+0,Normal
 Classical ,avelpic,mmsadeghi,0-1,2016.06.30,22:01:27,1389,1442,-9.0,9.0,D00,Blackmar-Diemer Gambit: Diemer-Rosenberg Attack,900+0,Normal
 Blitz ,Lobo200,rama05,0-1,2016.06.30,22:01:27,1712,1818,-8.0,7.0,A11,English Opening: Caro-Kann Defensive System,180+0,Normal
 Classical ,jaiunpseudo,m3kko,0-1,2016.06.30,22:01:23,1597,1541,-13.0,13.0,C55,Italian Game: Anti-Fried Liver Defense,480+5,Normal
 Bullet ,hilllel,Radenko-metraza-PK,0-1,2016.06.30,22:01:27,1396,1667,-4.0,4.0,A20,English Opening: King's English Variation,120+1,Time forfeit
 Blitz ,wjadro,thundercat,1-0,2016.06.30,22:01:27,1523,1483,9.0,-11.0,B22,Sicilian Defense: Alapin Variation,180+2,Normal
 Classical ,AgaTaRo,tinnet,1-0,2016.06.30,22:01:27,1653,1715,14.0,-12.0,C23,Bishop's Opening,1020+0,Normal
 Blitz ,DVRazor,gbsalvio,1-0,2016.06.30,22:01:28,2336,2152,6.0,-6.0,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",180+0,Time forfeit
 Bullet ,tiltCHIMP,edushi,1-0,2016.06.30,22:01:30,1795,1515,4.0,-4.0,D06,Queen's Gambit Refused: Marshall Defense,60+0,Normal
 Blitz ,batyaiktat,pierresales,0-1,2016.06.30,22:01:29,2036,2087,-9.0,9.0,B20,Sicilian Defense: Lasker-Dunne Attack,180+0,Time forfeit
 Bullet ,SharkFang,AlexChepikov,1-0,2016.06.30,22:01:32,2195,2178,10.0,-10.0,C11,"French Defense: Steinitz Variation, Boleslavsky Variation",60+0,Time forfeit
 Blitz ,dr_lee87,platerin,1-0,2016.06.30,22:01:25,1860,1776,21.0,-8.0,D30,Queen's Gambit Declined,300+0,Normal
 Bullet ,BogdanC,DrillshineUpsmash,0-1,2016.06.30,22:01:31,1395,1590,-5.0,6.0,C02,"French Defense: Advance Variation, Euwe Variation",90+0,Time forfeit
 Blitz ,JeffChess,Alsterdorf,0-1,2016.06.30,22:01:32,1934,1950,-11.0,10.0,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",300+0,Normal
 Classical ,laburle,salaudin53,1-0,2016.06.30,22:01:32,1996,1608,2.0,-2.0,B02,Alekhine Defense,600+2,Normal
 Blitz ,Nontxo,Ul-Mennaleith,1-0,2016.06.30,22:01:32,1630,1570,9.0,-9.0,B51,Sicilian Defense: Canal-Sokolsky Attack,180+2,Normal
 Blitz ,rcoarco,elliotfrancis,1-0,2016.06.30,22:01:33,1694,1333,3.0,-3.0,E20,Nimzo-Indian Defense: Ragozin Variation,180+3,Normal
 Classical ,zodoman,glauch,0-1,2016.06.30,22:01:33,1571,1578,-11.0,11.0,C00,French Defense #2,600+0,Normal
 Bullet tournament ,chessman2212,PriusFide,0-1,2016.06.30,22:01:37,1500,2183,-14.0,1.0,B01,Scandinavian Defense: Main Line,60+0,Normal
 Bullet ,KOStrategy,insightbck,1-0,2016.06.30,22:01:34,1357,973,3.0,-4.0,C20,King's Pawn Game: Wayward Queen Attack,60+0,Normal
 Blitz ,Ecrivain42,bbeltkyle89,0-1,2016.06.30,22:01:34,1562,1722,-6.0,8.0,C00,French Defense: Knight Variation,300+0,Normal
 Classical ,anas90,AbuNoor,1-0,2016.06.30,22:01:28,2073,2217,14.0,-87.0,C42,Russian Game: Urusov Gambit,900+3,Normal
 Blitz ,ArmalSheih,Tecnofabry,1-0,2016.06.30,22:01:35,1540,1859,22.0,-20.0,A40,Horwitz Defense,300+0,Normal
 Bullet ,horrowind,ALEXERRICO,0-1,2016.06.30,22:01:36,1831,1820,-11.0,11.0,B10,Caro-Kann Defense,120+0,Normal
 Bullet ,Kevpod,SOLODSV72,0-1,2016.06.30,22:01:34,1500,1359,-260.0,9.0,B00,Nimzowitsch Defense,120+0,Time forfeit
 Blitz ,ignatiusJReilly,juancely,1-0,2016.06.30,22:01:36,1520,1416,7.0,-8.0,D30,Queen's Gambit Declined,180+0,Normal
 Blitz ,adrianyaness,gumby103,1-0,2016.06.30,22:01:37,1678,1561,7.0,-7.0,C00,French Defense: Reti-Spielmann Attack,180+0,Normal
 Classical ,aly_dinamo10,hangmin,1-0,2016.06.30,22:01:35,1646,1569,9.0,-9.0,C44,Ponziani Opening: Jaenisch Counterattack,300+15,Normal
 Blitz ,DragonForce,Lake,0-1,2016.06.30,22:01:37,1525,1644,-8.0,7.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Normal
 Bullet ,naqalsamoht,barschina,1-0,2016.06.30,22:01:32,1643,1718,14.0,-12.0,C02,"French Defense: Advance Variation, Paulsen Attack",60+0,Normal
 Classical tournament ,shiro94,nero260,1-0,2016.06.30,22:01:34,1724,1299,2.0,-3.0,B07,King's Pawn Game: Maroczy Defense,600+0,Normal
 Bullet ,Enric52,lamarperu,0-1,2016.06.30,22:01:37,1748,1809,-9.0,9.0,B20,Sicilian Defense,60+0,Time forfeit
 Blitz tournament ,Lindioweb,renezieck,1-0,2016.06.30,22:01:37,1965,1720,5.0,-5.0,A15,English Opening: Anglo-Indian Defense,180+0,Normal
 Blitz tournament ,trend19,gattababu,0-1,2016.06.30,22:01:37,1880,1870,-12.0,13.0,B20,Sicilian Defense: Bowdler Attack,180+0,Normal
 Blitz tournament ,madruga123,mayconchess,0-1,2016.06.30,22:01:37,1402,1866,-2.0,1.0,B20,Sicilian Defense: Staunton-Cochrane Variation,180+0,Normal
 Bullet ,bleistift,LudoChess79,1-0,2016.06.30,22:01:39,1663,1707,12.0,-12.0,B00,Nimzowitsch Defense: Mikenas Variation,60+1,Normal
 Blitz ,Nando_Oliveira,username999,1-0,2016.06.30,22:01:40,1600,1583,11.0,-11.0,C42,Petrov's Defense #2,300+0,Time forfeit
 Blitz ,Wormhouse,Quentus,0-1,2016.06.30,22:01:39,1687,1702,-10.0,10.0,A40,Englund Gambit Complex Declined,180+0,Normal
 Bullet ,dpikos,danilommsantos,0-1,2016.06.30,22:01:40,1376,1333,-15.0,12.0,B20,Sicilian Defense,90+2,Normal
 Blitz ,eagle222,PietAmigo,1-0,2016.06.30,22:01:40,1869,1793,10.0,-9.0,C00,French Defense: Knight Variation,300+0,Normal
 Blitz tournament ,pacman2016,Kamb,0-1,2016.06.30,22:01:41,1723,1970,-4.0,5.0,B06,"Modern Defense: Two Knights Variation, Suttles Variation",180+0,Time forfeit
 Classical ,valmasia3,danielmur92,0-1,2016.06.30,22:01:35,1992,1511,-24.0,64.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+5,Normal
 Bullet ,ghoul00,Joris_Busink,0-1,2016.06.30,22:01:41,1598,1537,-12.0,13.0,A11,English Opening: Caro-Kann Defensive System,45+2,Time forfeit
 Blitz ,juniorfuzah,Edisonpaulo,1-0,2016.06.30,22:01:41,1951,2057,13.0,-17.0,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",300+0,Normal
 Blitz ,enermag,piupiujj,1-0,2016.06.30,22:01:42,1658,1660,11.0,-11.0,B21,Sicilian Defense: Smith-Morra Gambit,180+3,Time forfeit
 Blitz ,karat2,mixelsonK,1-0,2016.06.30,22:01:41,1939,1611,3.0,-3.0,B00,Nimzowitsch Defense: Mikenas Variation,180+0,Time forfeit
 Blitz ,alexcms,ohdy,0-1,2016.06.30,22:01:42,2064,2176,-7.0,7.0,A40,Polish Defense,180+0,Normal
 Blitz tournament ,Emrekurt20,sam23,1-0,2016.06.30,22:01:44,1830,1631,6.0,-6.0,C41,Philidor Defense #3,180+0,Normal
 Classical ,duduasc,sashaplast,1-0,2016.06.30,22:01:43,2043,2064,11.0,-12.0,D20,"Queen's Gambit Accepted: Central Variation, McDonnell Defense",300+5,Normal
 Bullet ,fsanna,MINSK_VAMPIRE,0-1,2016.06.30,22:01:41,1859,1884,-10.0,10.0,A45,Indian Game,0+1,Time forfeit
